part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
L3S2P11,Terminator,,,,,0.93;0.18;0.17,,,,,
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,
Escar,Scar,,,,,0.00;0.00;0.00,,,,,
ScmJ,Ribozyme,,,,,0.76;0.29;0.61,,,,,
RiboJ57,Ribozyme,,,,,0.33;0.33;0.64,,,,,
E1,RBS,,,,,0.33;0.33;0.64,,,,,
ECK120015440,Terminator,,,,,0.76;0.29;0.61,,,,,
A1,RBS,,,,,0.23;0.66;0.88,,,,,
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,
Xscar,Scar,,,,,0.00;0.00;0.00,,,,,
PsrA,CDS,,,,,0.76;0.29;0.61,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
Fscar,Scar,,,,,0.00;0.00;0.00,,,,,
galEP2,Promoter,,,,,0.00;0.00;0.00,,,,,
R1,RBS,,,,,0.76;0.29;0.61,,,,,
P1,RBS,,,,,0.98;0.64;0.15,,,,,
SarJ,Ribozyme,,,,,0.93;0.18;0.17,,,,,
Cscar,Scar,,,,,0.00;0.00;0.00,,,,,
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
L3S3P11,Terminator,,,,,0.33;0.33;0.64,,,,,
Vscar,Scar,,,,,0.00;0.00;0.00,,,,,
BetI,CDS,,,,,0.33;0.33;0.64,,,,,
B2,RBS,,,,,0.93;0.18;0.17,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
fadD,Promoter,,,,,0.00;0.00;0.00,,,,,
Uscar,Scar,,,,,0.00;0.00;0.00,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
pLuxStar,Promoter,,,,,0.00;0.00;0.00,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
